#Full OTU Counts																																																																																																	
#OTU ID	aR1	aR2	aR3	aR4	aR5	aR6	aR7	aR8	aS1	aS2	aS3	aS4	aS5	aS6	aS7	aS8	aSN1	aSN2	aSN3	aSN4	aSN5	aSN6	aSN7	aSN8	bR1	bR2	bR3	bR4	bR5	bR6	bR7	bR8	bS1	bS2	bS3	bS4	bS5	bS6	bS7	bS8	bSN1	bSN2	bSN3	bSN4	bSN5	bSN6	bSN7	bSN8	cR1	cR2	cR3	cR4	cR5	cR6	cR7	cR8	cS1	cS2	cS3	cS4	cS5	cS6	cS7	cS8	cSN1	cSN2	cSN3	cSN4	cSN5	cSN6	cSN7	cSN8	ctrlR1	ctrlR2	ctrlR3	ctrlR4	ctrlR5	ctrlR6	ctrlR7	ctrlR8	ctrlS1	ctrlS2	ctrlS3	ctrlS4	ctrlS5	ctrlS6	ctrlS7	ctrlS8	ctrlSN1	ctrlSN2	ctrlSN3	ctrlSN4	ctrlSN5	ctrlSN6	ctrlSN7	ctrlSN8	taxonomy
58	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	132	0	0	0	350	0	0	0	0	49	0	0	0	0	51	0	0	0	0	568	0	0	0	0	0	0	0	0	0	422	0	0	0	0	0	0	0	0	0	0	0	32	0	72	88	57	0	0	108	0	0	0	212	0	0	0	0	0	0	0	0	0	67	0	136	147	150	0	0	26	0	184	0	0	0	0	205	326	214	0	"k__Fungi;"
59	76	70	52	105	52	122	0	58	0	0	0	0	0	0	0	0	0	38	458	80	27	0	0	0	119	45	109	90	0	37	37	99	0	0	30	0	0	0	54	0	16	0	61	0	0	0	328	0	27	0	141	62	21	43	0	218	0	0	28	0	0	0	22	21	0	0	0	40	160	66	0	0	34	194	61	0	64	0	62	0	0	27	0	0	92	0	84	0	0	0	0	0	0	0	0	0	"k__Fungi;p__Basidiomycota;c__Agaricomycetes;"
60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	14	199	0	63	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	195	28	0	159	310	42	227	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	115	37	25	29	115	95	386	65	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	56	70	0	41	230	168	352	68	"k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Leucosporidiaceae;g__Leucosporidium;"
62	0	32	0	22	0	0	35	0	0	0	0	0	163	0	0	31	0	0	417	0	7	0	0	170	31	97	16	0	0	0	0	0	81	65	0	411	0	18	35	0	0	240	19	0	0	0	216	0	0	0	9	0	37	117	0	0	0	0	0	66	102	0	81	0	13	0	50	45	0	0	74	269	0	0	0	0	40	0	34	0	0	0	0	0	0	0	0	124	0	0	50	63	8	0	45	44	"k__Fungi;p__Basidiomycota;"
63	28	0	0	78	14	0	51	0	53	62	27	0	0	21	0	80	33	0	89	30	86	106	0	36	12	44	0	0	0	0	0	28	0	41	0	100	15	0	70	0	76	140	0	20	79	65	0	120	25	0	25	13	30	21	0	0	31	0	48	0	57	48	26	22	33	0	0	67	113	0	97	27	31	0	0	0	0	6	60	0	109	69	63	39	67	0	28	56	43	0	51	0	138	124	81	33	"k__Fungi;p__Ascomycota;c__Sordariomycetes;"
65	0	0	0	0	0	0	0	0	0	0	0	83	228	0	0	113	0	80	168	0	98	140	0	221	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	248	0	0	52	0	0	171	20	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	162	0	0	0	0	0	0	0	0	0	0	163	212	0	0	0	0	0	0	102	117	0	92	115	141	0	"k__Fungi;"
68	66	61	71	120	50	64	75	56	13	0	11	0	0	14	0	20	17	0	38	0	60	44	0	0	53	57	52	55	0	34	0	58	0	36	18	57	0	22	59	0	74	102	81	31	19	55	21	75	64	0	128	65	57	75	25	52	28	0	42	0	24	41	48	0	23	12	0	34	25	31	52	31	21	16	39	60	27	0	31	0	33	18	21	8	33	0	35	17	17	0	12	17	42	34	22	14	"k__Fungi;"
69	0	0	0	26	0	0	0	0	0	29	0	0	0	0	0	48	69	0	171	0	96	173	0	57	0	0	0	0	0	0	0	0	46	0	0	0	0	0	37	0	72	173	0	0	136	152	44	327	24	0	41	0	0	0	0	0	0	0	36	0	20	38	23	0	193	0	0	103	38	0	216	86	0	0	0	0	0	0	0	0	39	52	0	0	0	0	0	0	44	0	93	0	169	119	113	0	"k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;"
72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	385	0	123	384	0	0	0	240	96	0	0	0	0	0	0	0	0	0	241	64	459	88	343	375	79	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Aspergillus;"
73	0	0	0	14	0	0	46	0	0	73	0	9	71	33	33	75	57	0	0	78	77	20	20	0	0	0	0	0	0	0	0	0	0	66	33	0	39	0	82	0	0	66	17	23	138	141	0	159	0	0	0	0	25	13	0	0	101	26	60	29	108	75	37	33	0	29	0	81	127	0	147	0	0	0	0	0	0	0	50	0	0	0	0	75	45	0	44	39	53	0	0	0	134	172	105	0	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;"
